uid,fp_academic,fp_academic;academic,fp_academic;academic;academic,fp_academic;academic;academic;academic,fp_academic;academic;dining,fp_academic;academic;fraternity,fp_academic;academic;fraternity;academic,fp_academic;academic;library,fp_academic;academic;residential,fp_academic;arts,fp_academic;arts;residential,fp_academic;dining,fp_academic;dining;academic,fp_academic;fraternity,fp_academic;fraternity;academic,fp_academic;library,fp_academic;library;academic,fp_academic;library;fraternity,fp_academic;library;residential,fp_academic;residential,fp_academic;residential;academic,fp_academic;residential;residential,fp_arts,fp_arts;academic,fp_arts;fraternity,fp_arts;residential,fp_athletic,fp_athletic;arts,fp_athletic;residential,fp_dining,fp_dining;academic,fp_dining;fraternity,fp_dining;residential,fp_fraternity,fp_fraternity;academic,fp_fraternity;academic;academic,fp_fraternity;academic;fraternity,fp_fraternity;arts,fp_fraternity;dining,fp_fraternity;fraternity,fp_fraternity;library,fp_fraternity;library;academic,fp_fraternity;residential,fp_library,fp_library;academic,fp_library;academic;library,fp_library;arts,fp_library;fraternity,fp_library;residential,fp_residential,fp_residential;academic,fp_residential;academic;academic,fp_residential;academic;arts,fp_residential;academic;dining,fp_residential;academic;residential,fp_residential;arts,fp_residential;arts;academic,fp_residential;arts;residential,fp_residential;athletic,fp_residential;athletic;residential,fp_residential;dining,fp_residential;dining;residential,fp_residential;fraternity,fp_residential;fraternity;residential,fp_residential;library,fp_residential;library;academic,fp_residential;residential,fp_residential;residential;academic,fp_residential;residential;residential,extra
12,19.000,15.000,5.000,0.000,0.000,11.000,0.000,0.000,2.000,1.000,0.000,1.000,1.000,11.000,0.000,1.000,1.000,0.000,0.000,4.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,9.000,7.000,1.000,2.000,15.000,4.000,1.000,0.000,0.000,1.000,0.000,2.000,1.000,4.000,7.000,2.000,0.000,0.000,2.000,0.000,9.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.875
13,20.000,14.000,5.000,2.000,1.000,2.000,2.000,0.000,2.000,1.000,0.000,2.000,2.000,6.000,6.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,6.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375
14,20.000,4.000,1.000,0.000,1.000,2.000,0.000,0.000,1.000,5.000,2.000,2.000,0.000,13.000,2.000,10.000,6.000,3.000,1.000,5.000,1.000,1.000,15.000,4.000,9.000,8.000,3.000,2.000,0.000,6.000,0.000,5.000,0.000,20.000,9.000,1.000,3.000,7.000,1.000,8.000,3.000,1.000,9.000,18.000,17.000,6.000,3.000,6.000,1.000,20.000,9.000,2.000,2.000,0.000,1.000,3.000,1.000,1.000,1.000,0.000,1.000,0.000,8.000,1.000,12.000,11.000,11.000,2.000,5.000,3.250
15,17.000,7.000,1.000,0.000,5.000,0.000,0.000,1.000,1.000,0.000,0.000,10.000,1.000,0.000,0.000,4.000,1.000,0.000,2.000,7.000,3.000,0.000,2.000,0.000,0.000,1.000,10.000,1.000,6.000,10.000,2.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,3.000,0.000,0.000,0.000,4.000,19.000,11.000,6.000,0.000,2.000,4.000,0.000,0.000,0.000,6.000,1.000,1.000,1.000,0.000,0.000,5.000,1.000,4.000,1.000,3.000,3.250
16,19.000,8.000,1.000,0.000,3.000,0.000,0.000,0.000,4.000,3.000,3.000,7.000,0.000,1.000,0.000,3.000,0.000,0.000,2.000,14.000,7.000,3.000,4.000,0.000,1.000,3.000,7.000,0.000,6.000,15.000,2.000,1.000,11.000,6.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,5.000,4.000,1.000,0.000,0.000,0.000,2.000,20.000,19.000,8.000,2.000,4.000,9.000,0.000,0.000,0.000,6.000,5.000,6.000,4.000,4.000,4.000,0.000,0.000,8.000,6.000,1.000,1.750
17,19.000,12.000,0.000,0.000,2.000,0.000,0.000,4.000,5.000,4.000,4.000,2.000,0.000,0.000,0.000,5.000,2.000,0.000,3.000,14.000,7.000,2.000,9.000,4.000,0.000,6.000,1.000,0.000,0.000,4.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,3.000,1.000,1.000,0.000,4.000,20.000,17.000,10.000,1.000,0.000,9.000,5.000,3.000,2.000,1.000,0.000,2.000,1.000,0.000,0.000,4.000,2.000,4.000,1.000,0.000,2.625
18,18.000,13.000,9.000,0.000,3.000,5.000,2.000,4.000,0.000,2.000,0.000,4.000,0.000,12.000,7.000,7.000,4.000,4.000,0.000,0.000,0.000,0.000,5.000,2.000,3.000,1.000,5.000,2.000,0.000,5.000,0.000,5.000,0.000,20.000,15.000,10.000,7.000,2.000,1.000,0.000,2.000,2.000,0.000,8.000,6.000,0.000,0.000,4.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.625
19,19.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,15.000,2.000,3.000,12.000,4.000,3.000,6.000,2.000,0.000,0.000,5.000,0.000,0.000,5.000,16.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,13.000,4.000,2.000,0.000,1.000,0.000,1.000,20.000,14.000,1.000,3.000,0.000,11.000,9.000,4.000,4.000,1.000,0.000,4.000,4.000,11.000,8.000,3.000,2.000,10.000,4.000,3.000,1.750
20,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,12.000,2.000,4.000,2.000,0.000,0.000,1.000,3.000,0.000,3.000,3.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,11.000,0.000,0.000,0.000,0.000,8.000,20.000,12.000,0.000,0.000,0.000,11.000,2.000,0.000,1.000,2.000,2.000,0.000,0.000,2.000,1.000,7.000,0.000,7.000,1.000,2.000,3.875
22,14.000,5.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,7.000,0.000,1.000,1.000,0.000,0.000,3.000,1.000,0.000,5.000,0.000,0.000,5.000,7.000,3.000,6.000,18.000,1.000,0.000,15.000,12.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,5.000,7.000,1.000,0.000,0.000,0.000,5.000,20.000,13.000,5.000,0.000,4.000,1.000,2.000,0.000,2.000,7.000,6.000,14.000,11.000,5.000,4.000,6.000,0.000,11.000,1.000,2.000,3.625
23,16.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,15.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,3.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,3.000,20.000,14.000,2.000,0.000,1.000,11.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,3.000,1.000,1.000,3.000
24,15.000,11.000,4.000,1.000,2.000,5.000,0.000,0.000,2.000,0.000,0.000,2.000,1.000,13.000,2.000,1.000,0.000,1.000,0.000,2.000,0.000,0.000,5.000,0.000,5.000,0.000,2.000,0.000,0.000,8.000,2.000,5.000,1.000,20.000,9.000,7.000,6.000,5.000,5.000,12.000,11.000,5.000,4.000,12.000,5.000,0.000,0.000,7.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,3.500
27,18.000,9.000,7.000,0.000,0.000,0.000,0.000,8.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,16.000,4.000,0.000,13.000,4.000,0.000,0.000,9.000,1.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,18.000,5.000,4.000,1.000,0.000,15.000,20.000,15.000,8.000,1.000,0.000,1.000,7.000,1.000,5.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,1.000,1.000,0.000,0.000,2.500
30,20.000,2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,6.000,5.000,1.000,0.000,0.000,0.000,15.000,1.000,11.000,3.000,2.000,0.000,0.000,18.000,12.000,1.000,16.000,3.000,1.000,1.000,13.000,4.000,1.000,6.000,16.000,0.000,0.000,0.000,12.000,0.000,1.000,1.000,0.000,7.000,18.000,5.000,1.000,5.000,13.000,6.000,20.000,3.000,0.000,1.000,0.000,0.000,17.000,12.000,4.000,2.000,1.000,10.000,5.000,6.000,3.000,4.000,2.000,10.000,0.000,6.000,4.500
31,20.000,18.000,13.000,8.000,0.000,8.000,6.000,2.000,0.000,5.000,0.000,0.000,0.000,10.000,9.000,3.000,2.000,0.000,0.000,0.000,0.000,0.000,6.000,3.000,1.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,10.000,6.000,2.000,0.000,0.000,0.000,1.000,1.000,1.000,4.000,3.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.250
32,20.000,9.000,3.000,0.000,3.000,2.000,1.000,0.000,3.000,8.000,4.000,13.000,0.000,9.000,3.000,0.000,0.000,0.000,0.000,15.000,4.000,8.000,10.000,2.000,3.000,6.000,1.000,0.000,0.000,17.000,3.000,9.000,7.000,20.000,11.000,0.000,1.000,1.000,3.000,3.000,3.000,3.000,7.000,6.000,5.000,0.000,0.000,0.000,1.000,20.000,18.000,5.000,4.000,8.000,8.000,2.000,0.000,1.000,1.000,0.000,6.000,2.000,8.000,1.000,3.000,2.000,12.000,12.000,8.000,4.250
33,16.000,11.000,1.000,0.000,0.000,2.000,2.000,1.000,5.000,9.000,8.000,0.000,0.000,5.000,3.000,1.000,0.000,1.000,0.000,7.000,2.000,0.000,17.000,2.000,1.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,3.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,2.000,1.000,0.000,0.000,1.000,0.000,20.000,14.000,9.000,3.000,0.000,2.000,10.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,1.000,0.000,2.875
34,20.000,15.000,7.000,4.000,3.000,4.000,4.000,0.000,4.000,2.000,0.000,5.000,4.000,5.000,5.000,0.000,0.000,0.000,0.000,8.000,4.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,7.000,6.000,0.000,2.000,7.000,7.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,10.000,8.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,3.250
35,19.000,11.000,5.000,1.000,2.000,1.000,1.000,0.000,5.000,1.000,1.000,5.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,10.000,4.000,0.000,1.000,0.000,0.000,1.000,2.000,0.000,1.000,9.000,5.000,0.000,5.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,15.000,8.000,1.000,3.000,4.000,0.000,0.000,0.000,0.000,0.000,5.000,2.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.625
36,20.000,8.000,3.000,0.000,0.000,3.000,2.000,0.000,0.000,2.000,0.000,1.000,1.000,7.000,5.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,7.000,5.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.500
39,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375
42,20.000,12.000,6.000,4.000,1.000,3.000,2.000,0.000,2.000,1.000,0.000,7.000,5.000,5.000,4.000,1.000,1.000,0.000,0.000,3.000,1.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,10.000,8.000,0.000,1.000,5.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,6.000,3.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,3.125
43,20.000,10.000,3.000,2.000,7.000,0.000,0.000,0.000,2.000,6.000,3.000,13.000,8.000,1.000,1.000,0.000,0.000,0.000,0.000,11.000,1.000,2.000,14.000,2.000,0.000,9.000,0.000,0.000,0.000,17.000,13.000,1.000,6.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,18.000,14.000,8.000,0.000,4.000,2.000,6.000,1.000,2.000,0.000,0.000,8.000,3.000,0.000,0.000,1.000,0.000,6.000,3.000,1.000,2.375
44,20.000,15.000,10.000,6.000,0.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375
45,19.000,9.000,7.000,1.000,0.000,3.000,3.000,0.000,2.000,0.000,0.000,2.000,2.000,7.000,5.000,0.000,0.000,0.000,0.000,6.000,4.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,2.000,1.000,0.000,9.000,7.000,3.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,5.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,3.750
46,14.000,1.000,1.000,1.000,0.000,1.000,1.000,0.000,1.000,3.000,1.000,0.000,0.000,7.000,1.000,4.000,0.000,2.000,0.000,6.000,1.000,3.000,17.000,5.000,9.000,5.000,4.000,1.000,3.000,4.000,1.000,3.000,0.000,19.000,8.000,1.000,3.000,5.000,2.000,5.000,13.000,1.000,14.000,17.000,2.000,0.000,3.000,12.000,6.000,19.000,2.000,1.000,0.000,0.000,2.000,9.000,3.000,3.000,3.000,3.000,0.000,0.000,10.000,1.000,9.000,1.000,6.000,1.000,2.000,3.125
47,20.000,11.000,2.000,0.000,5.000,3.000,1.000,0.000,0.000,1.000,0.000,17.000,9.000,6.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,5.000,5.000,0.000,0.000,2.000,0.000,0.000,17.000,9.000,0.000,0.000,7.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.375
49,20.000,13.000,1.000,0.000,0.000,2.000,0.000,9.000,2.000,9.000,3.000,0.000,0.000,5.000,1.000,12.000,0.000,9.000,2.000,9.000,5.000,0.000,17.000,3.000,1.000,7.000,4.000,2.000,2.000,3.000,1.000,0.000,3.000,15.000,4.000,2.000,0.000,0.000,2.000,1.000,8.000,5.000,4.000,17.000,7.000,3.000,1.000,12.000,12.000,19.000,18.000,11.000,6.000,0.000,2.000,8.000,2.000,1.000,4.000,2.000,2.000,1.000,1.000,1.000,4.000,1.000,4.000,1.000,1.000,2.875
50,20.000,11.000,2.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,14.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,16.000,9.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.875
51,20.000,9.000,6.000,4.000,1.000,4.000,2.000,0.000,0.000,1.000,0.000,1.000,1.000,5.000,3.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,3.000,3.000,0.000,0.000,5.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.375
52,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,19.000,2.000,19.000,0.000,20.000,16.000,0.000,9.000,3.000,17.000,17.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.625
53,19.000,10.000,5.000,1.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,3.000,3.000,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,20.000,19.000,10.000,0.000,0.000,10.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,1.000,0.000,1.000,1.000,3.000,1.000,0.000,2.250
54,18.000,6.000,1.000,1.000,0.000,0.000,0.000,1.000,3.000,5.000,3.000,1.000,0.000,7.000,2.000,8.000,2.000,1.000,2.000,10.000,0.000,3.000,8.000,1.000,2.000,3.000,1.000,0.000,1.000,10.000,2.000,1.000,3.000,12.000,4.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,5.000,14.000,6.000,1.000,0.000,2.000,10.000,20.000,15.000,4.000,3.000,0.000,3.000,3.000,0.000,0.000,1.000,1.000,4.000,0.000,1.000,1.000,5.000,3.000,9.000,4.000,2.000,3.000
56,19.000,11.000,3.000,1.000,0.000,3.000,2.000,0.000,1.000,2.000,0.000,2.000,1.000,4.000,3.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,7.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.625
