uid,len_var,start_time_var,end_time_var,early,late,absent,late_time_var,fp_53_commons,fp_53_commons;massrow,fp_53_commons;north-main,fp_53_commons;sudikoff,fp_7-lebanon,fp_baker-berry,fp_baker-berry;hopkins,fp_baker-berry;kemeny,fp_baker-berry;lsb,fp_baker-berry;sudikoff,fp_butterfield,fp_college-street,fp_cummings,fp_dana-library,fp_dartmouth_hall,fp_east-wheelock,fp_hopkins,fp_hopkins;lsb,fp_hopkins;sudikoff,fp_kemeny,fp_kemeny;baker-berry,fp_lsb,fp_lsb;53_commons,fp_lsb;baker-berry,fp_lsb;hopkins,fp_lsb;north-main,fp_lsb;north-park,fp_lsb;sudikoff,fp_massrow,fp_massrow;lsb,fp_moore,fp_north-main,fp_north-main;lsb,fp_north-main;sudikoff,fp_north-park,fp_north-park;lsb,fp_north-park;lsb;north-park,fp_north-park;sudikoff,fp_occum,fp_ripley,fp_robinson,fp_silsby-rocky,fp_sport-venues,fp_sudikoff,fp_sudikoff;53_commons,fp_sudikoff;baker-berry,fp_sudikoff;hopkins,fp_sudikoff;lsb,fp_sudikoff;north-main,fp_sudikoff;north-park,extra
15,1.067,0.619,0.137,-0.048,-0.027,0.083,-0.685,0.536,1.925,-0.302,0.000,-0.535,0.437,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,2.285,-0.136,-0.867,-0.389,-0.671,-0.673,-0.386,1.222,3.859,0.081,-0.607,-0.374,-0.357,-0.711,2.831,1.892,-0.361,-0.966,-0.341,-0.548,-0.265,-0.434,-0.317,-0.422,-0.414,-0.264,0.450,1.457,0.675,-1.369,-0.560,-0.109,-0.828,-0.496,-0.514,-0.400,3.250
16,-0.388,-0.575,-0.591,1.313,-0.202,-1.417,-0.224,1.361,3.208,0.000,0.783,0.035,-0.443,-0.471,-0.370,-0.208,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-0.583,-0.389,-0.671,-0.673,-0.386,0.756,-0.044,0.081,0.294,-0.374,-0.357,0.337,2.998,4.100,-0.361,0.157,-0.341,-0.548,-0.415,-0.434,-0.317,-0.422,-0.191,-0.264,1.251,-0.337,0.675,0.494,2.380,0.484,-0.828,0.517,-0.514,-0.400,1.750
17,-0.313,-1.043,0.226,-0.090,0.902,-0.706,-0.511,-0.785,-0.321,-0.302,-0.783,-0.535,-0.003,0.092,-0.370,0.075,0.682,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,0.128,0.972,0.112,-0.673,-0.386,0.756,-0.478,0.081,-0.607,-0.374,-0.357,2.171,-0.341,-0.315,-0.051,-0.966,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,0.049,-0.337,-0.506,1.341,-0.070,1.077,1.468,0.010,-0.514,-0.400,2.625
18,0.604,-0.198,0.273,-1.332,1.888,-0.086,0.104,-0.290,-0.321,1.209,-0.783,-0.535,0.144,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-0.441,-0.389,0.894,-0.508,-0.386,-0.176,-0.478,-0.225,-0.607,-0.374,-0.357,1.647,-0.341,-0.315,-0.051,2.777,0.355,2.434,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,0.439,1.003,0.910,1.670,0.703,-0.496,2.687,-0.400,2.625
19,-0.713,-0.957,-0.058,1.013,0.345,-1.546,-0.702,-0.290,-0.321,-0.302,-0.783,-0.535,-0.443,0.092,-0.370,0.075,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,0.815,0.554,0.972,0.112,1.637,-0.386,0.989,-0.478,-0.225,-0.156,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.218,-0.341,-0.051,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.270,-0.522,-0.560,-0.702,0.703,-0.496,-0.514,-0.400,1.750
20,-0.216,-0.406,-0.229,-1.115,-0.902,2.175,-0.659,-0.620,-0.321,-0.302,0.000,-0.535,0.584,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-0.867,-0.389,-0.671,-0.673,-0.386,-0.642,-0.478,-0.532,-0.607,-0.374,2.992,-0.711,-0.341,-0.315,-0.051,-0.592,-0.341,-0.548,2.424,2.120,3.176,1.109,-0.414,-0.264,-0.352,-0.337,-0.034,-1.030,-0.070,-0.109,-0.828,-0.496,-0.514,0.674,3.875
22,-0.254,-0.701,-0.727,-0.700,-0.537,1.339,-0.257,1.856,4.492,-0.302,0.000,-0.535,-0.003,-0.471,-0.370,-0.491,-0.164,-0.262,-0.259,-0.345,-0.412,-0.326,0.181,-0.441,-0.389,-0.671,0.812,-0.386,-1.108,0.389,-0.532,-0.607,-0.374,-0.357,-0.711,2.998,2.260,-0.361,-0.405,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.191,0.160,-0.352,-0.337,0.911,-1.200,-0.560,-0.109,-0.828,-0.496,-0.514,-0.400,3.625
23,-0.419,-0.679,2.139,-0.248,-1.194,1.383,-0.017,-0.620,-0.321,-0.302,0.000,-0.535,-0.590,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-1.151,-0.389,-0.671,-0.673,-0.386,-0.176,-0.044,-0.532,-0.607,-0.374,2.992,-0.449,-0.341,-0.315,-0.361,-0.966,-0.341,-0.548,2.424,2.688,3.176,1.875,-0.414,-0.264,-0.352,-0.337,-0.506,-0.522,-0.070,-0.109,-0.828,-0.496,-0.514,1.210,3.000
24,1.419,-0.544,0.307,-0.933,0.081,1.063,-0.139,0.205,-0.321,-0.302,0.783,-0.535,0.584,-0.471,-0.370,0.924,-0.587,1.049,-0.259,-0.345,-0.412,-0.326,-0.453,-0.441,-0.389,-0.671,0.317,1.373,0.523,-0.478,-0.225,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.405,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,4.049,-0.264,-0.352,3.968,-0.270,-0.522,-0.070,-0.702,-0.828,0.010,-0.514,-0.400,3.500
27,-0.728,-0.241,0.815,-2.091,2.696,0.106,-0.745,-1.115,-0.321,-0.302,-0.783,-0.535,1.610,0.092,-0.370,0.358,-0.587,-0.262,-0.259,-0.345,-0.412,0.979,-0.453,0.128,-0.389,0.112,-0.673,-0.386,0.523,-0.478,0.694,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.592,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,3.978,0.049,3.250,-0.742,-1.538,-0.560,0.484,-0.828,-0.496,-0.514,-0.400,2.500
30,0.257,-0.680,-1.003,1.427,-0.584,-1.210,1.103,1.031,-0.321,-0.302,2.348,-0.535,1.610,2.343,3.694,0.358,0.682,0.000,-0.259,-0.345,-0.412,-0.326,0.181,1.406,4.602,0.112,1.472,0.054,0.756,-0.478,2.533,1.196,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.218,-0.341,-0.548,0.781,-0.434,-0.317,-0.422,1.371,-0.264,0.049,-0.337,-0.270,-0.353,-0.070,2.263,0.703,-0.496,-0.514,-0.400,4.500
31,-0.150,2.439,1.052,-1.029,-0.639,1.832,0.078,-1.115,-0.321,-0.302,-0.783,4.025,-0.443,-0.471,-0.370,-0.491,0.682,-0.262,-0.259,-0.345,-0.064,-0.326,-0.453,-0.299,-0.389,0.894,-0.673,-0.386,-0.409,-0.478,-0.532,-0.607,-0.374,-0.357,1.647,-0.341,-0.315,-0.361,1.092,0.007,2.930,-0.415,-0.434,-0.317,-0.039,-0.414,-0.264,-0.352,-0.337,-0.742,1.511,-0.560,1.077,1.468,0.517,3.487,-0.400,4.250
32,2.898,-0.926,-0.650,-0.228,1.459,-1.042,0.465,1.691,1.925,-0.302,0.000,-0.535,-0.150,-0.471,-0.370,-0.491,1.105,-0.262,0.269,-0.345,-0.064,-0.326,-0.136,0.270,-0.389,-0.671,2.132,0.934,0.756,2.992,-0.532,1.647,-0.374,-0.357,-0.187,2.998,4.100,-0.051,-0.966,-0.341,-0.548,-0.415,-0.151,-0.317,-0.422,2.487,-0.264,1.251,-0.337,-0.506,-0.183,1.400,-0.702,0.703,-0.496,-0.514,-0.400,4.250
33,-0.286,-0.165,-0.152,-0.194,-0.027,0.260,-0.534,-1.115,-0.321,-0.302,-0.783,-0.535,-0.736,-0.471,-0.370,-0.208,-0.587,-0.262,0.533,2.918,-0.412,-0.326,-0.453,1.264,-0.389,0.112,-0.673,-0.386,-0.176,-0.478,-0.532,0.745,1.255,-0.357,-0.711,-0.341,-0.315,-0.361,-0.031,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,-1.369,-0.560,-0.702,0.703,-0.496,-0.514,-0.400,2.875
34,-0.499,1.617,0.887,-0.682,0.849,0.062,2.291,0.040,-0.321,-0.302,1.565,2.315,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,3.413,-0.326,1.449,-0.867,-0.389,-0.671,-0.673,-0.386,-0.176,-0.478,-0.532,-0.156,-0.374,0.015,-0.187,-0.341,-0.315,-0.361,0.344,0.007,0.943,0.930,0.133,-0.317,0.344,-0.414,-0.264,-0.352,-0.337,-0.742,0.664,0.910,-0.702,-0.062,0.517,-0.114,0.137,3.250
35,-0.046,-0.813,0.407,-1.332,-0.610,2.175,2.261,0.370,-0.321,-0.302,0.000,1.745,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,3.065,-0.326,-0.136,-1.009,-0.389,-0.671,-0.673,-0.386,-1.108,-0.478,-0.532,-0.607,-0.374,0.387,-0.449,-0.341,-0.315,-0.361,-0.405,-0.341,-0.548,2.275,1.552,0.071,0.726,-0.414,-0.264,-0.352,-0.337,-0.742,-0.522,-0.070,-0.702,-0.062,-0.496,-0.514,0.137,2.625
36,-0.958,1.362,1.944,0.000,-0.000,0.000,0.000,-1.115,-0.321,-0.302,-0.783,0.035,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.064,-0.326,-0.453,-0.867,-0.389,0.112,-0.673,-0.386,-2.738,-0.478,-0.532,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,-0.051,0.344,-0.341,1.937,-0.265,-0.434,-0.317,-0.039,-0.414,-0.264,-0.352,-0.337,-0.742,1.511,-0.560,-0.702,0.703,-0.496,2.287,-0.131,3.500
39,-1.371,1.575,-0.392,0.000,-0.000,0.000,0.000,-1.115,-0.321,-0.302,-0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-1.009,-0.389,0.112,-0.673,-0.386,-2.738,-0.478,-0.532,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.966,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,0.325,-0.560,-0.702,-0.828,-0.496,-0.514,-0.400,3.375
42,-0.508,-0.220,-0.011,0.186,0.849,-0.994,-0.564,0.370,-0.321,-0.302,3.913,2.315,-0.883,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,3.065,-0.326,-0.453,-0.867,-0.389,-0.671,-0.673,-0.386,0.523,1.691,-0.532,-0.607,0.033,0.015,-0.449,-0.341,-0.315,-0.361,-0.031,-0.341,1.440,0.332,0.133,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,0.664,-0.560,-0.109,-0.062,0.010,-0.114,-0.131,3.125
43,-0.241,0.816,0.697,0.793,-0.435,-0.572,-0.748,1.691,-0.321,0.000,0.783,-0.535,-0.883,-0.471,-0.370,-0.491,-0.587,4.460,-0.259,4.698,-0.064,-0.326,-0.453,0.838,0.065,-0.671,-0.673,-0.386,0.057,2.558,-0.532,-0.607,0.033,-0.357,-0.711,-0.341,-0.315,-0.361,-0.592,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,-1.030,-0.560,-0.702,-0.062,-0.496,-0.514,-0.400,2.375
44,-0.811,0.105,-0.532,0.337,-0.639,0.168,0.240,-1.115,-0.321,-0.302,-0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.136,-1.151,-0.389,-0.671,-0.673,-0.386,-0.176,-0.478,-0.532,-0.607,-0.374,-0.357,1.909,-0.341,-0.315,-0.361,-0.592,-0.341,-0.051,-0.415,-0.434,-0.317,-0.039,-0.414,-0.264,-0.352,-0.337,-0.506,1.511,-0.560,-0.702,-0.828,3.556,-0.114,-0.131,3.375
45,1.111,1.831,2.227,-0.682,-0.027,0.855,-0.001,-0.785,-0.321,-0.302,0.000,1.745,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,3.065,-0.326,0.815,-1.009,0.065,-0.671,-0.673,-0.386,-0.409,-0.044,-0.532,-0.607,-0.374,0.759,0.075,-0.341,-0.315,-0.361,0.718,0.007,-0.051,0.183,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,0.494,-0.560,-0.702,-0.828,-0.496,1.086,-0.131,3.750
46,3.874,-0.664,-0.875,-1.459,0.654,1.185,-0.152,-0.455,-0.321,-0.302,0.000,0.605,1.463,1.218,0.880,-0.208,-0.164,0.525,4.494,-0.345,-0.412,-0.326,-0.136,1.264,-0.389,0.894,1.142,1.813,-1.341,-0.478,0.081,0.294,-0.374,-0.357,-0.449,-0.341,-0.315,-0.051,-0.218,-0.341,-0.548,-0.415,-0.434,-0.317,-0.422,0.255,-0.264,-0.352,-0.337,0.202,-0.522,-0.560,-0.109,0.703,0.010,-0.514,-0.400,3.125
47,-0.753,1.437,1.907,-1.787,0.178,2.017,-0.117,1.691,-0.321,-0.302,0.783,-0.535,-0.883,-0.471,-0.370,-0.491,-0.164,-0.262,-0.259,-0.048,1.675,-0.326,-0.453,-0.441,-0.389,3.242,-0.508,-0.386,-0.875,-0.044,-0.532,-0.607,-0.374,-0.357,0.599,-0.341,-0.315,-0.361,0.157,-0.341,-0.051,-0.415,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,1.003,4.831,-0.702,-0.062,0.517,0.686,-0.400,4.375
49,1.044,-0.374,-0.718,-0.447,1.675,-0.972,-0.548,-0.620,-0.321,-0.302,0.000,0.035,1.463,0.092,3.381,-0.208,1.952,-0.262,-0.259,1.138,-0.412,-0.326,-0.453,1.264,-0.389,0.894,1.637,2.693,0.523,-0.478,2.227,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,-0.051,-0.779,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,0.202,0.494,-0.560,1.670,0.703,0.010,-0.514,-0.400,2.875
50,-0.753,0.319,-0.057,-0.573,0.994,-0.202,-0.110,-1.115,-0.321,-0.302,-0.783,0.035,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-1.151,-0.389,-0.671,-0.673,-0.386,0.290,-0.478,-0.532,-0.607,-0.374,1.131,2.171,-0.341,-0.315,-0.361,-0.779,-0.341,-0.548,1.827,2.688,1.236,2.640,-0.414,-0.264,-0.352,-0.337,-0.742,1.511,-0.560,-0.702,-0.828,0.517,-0.114,3.358,3.875
51,-0.887,0.532,1.801,-0.031,-0.610,0.590,3.774,-0.620,-0.321,-0.302,1.565,0.035,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,0.284,-0.326,-0.453,-1.009,-0.389,0.112,-0.673,-0.386,-1.341,-0.478,-0.532,-0.607,-0.374,-0.357,0.861,-0.341,-0.315,-0.051,-0.031,-0.341,0.943,-0.265,-0.434,-0.317,-0.039,-0.414,-0.264,-0.352,-0.337,-0.506,1.511,-0.070,-0.702,-0.062,1.530,1.486,-0.131,3.375
52,-0.310,-0.178,-0.521,1.151,-0.955,-0.538,-0.409,2.021,-0.321,4.838,-0.783,-0.535,-0.736,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-0.725,-0.389,-0.671,2.132,-0.386,0.523,2.558,-0.532,-0.607,2.476,-0.357,-0.711,-0.341,-0.315,-0.361,2.777,4.529,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,-0.337,-0.742,-1.708,-0.560,-0.702,-0.828,-0.496,-0.114,-0.400,1.625
53,-0.820,-0.758,0.581,-0.004,0.484,-0.433,0.666,-1.115,-0.321,-0.302,-0.783,-0.535,-0.883,-0.471,-0.370,-0.491,-0.164,-0.262,-0.259,-0.345,-0.412,-0.326,-0.453,-1.151,-0.389,-0.671,-0.673,-0.386,-0.409,-0.478,-0.532,-0.607,-0.374,0.015,1.385,-0.341,-0.315,-0.361,-0.779,-0.341,-0.548,2.424,2.120,0.071,4.171,-0.414,-0.264,-0.352,-0.337,-0.270,1.172,-0.560,-0.702,-0.828,0.010,-0.514,4.431,2.250
54,0.555,0.604,0.379,-1.735,1.265,0.968,-0.633,0.370,-0.321,-0.302,0.000,-0.535,0.877,-0.471,-0.057,-0.208,0.259,-0.262,-0.259,2.918,0.284,-0.326,-0.136,-0.014,-0.389,-0.671,0.647,0.054,-0.176,-0.044,-0.225,0.294,-0.374,-0.357,-0.711,-0.341,-0.315,-0.361,-0.031,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,0.049,-0.337,-0.506,-0.861,-0.560,1.670,-0.062,-0.496,-0.514,-0.400,3.000
56,-0.958,-0.601,-0.645,0.000,-0.000,0.000,0.000,-0.950,-0.321,-0.302,-0.783,2.315,-0.736,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.048,-0.412,-0.326,0.181,-0.867,-0.389,-0.671,-0.508,-0.386,-2.505,-0.478,-0.532,-0.607,-0.374,-0.357,-0.711,-0.341,-0.315,5.225,0.157,-0.341,-0.548,-0.564,-0.434,-0.317,-0.422,-0.414,-0.264,-0.352,0.022,-0.742,-1.877,-0.560,-0.702,-0.828,-0.496,-0.514,-0.400,1.625
57,0.088,-0.662,-1.176,1.400,-0.435,-1.311,-0.317,1.196,-0.321,3.024,1.565,0.035,-0.150,-0.471,-0.370,0.075,0.682,-0.262,-0.259,-0.345,-0.412,-0.326,0.181,1.122,-0.389,0.894,-0.343,-0.386,0.756,-0.044,-0.532,2.098,3.697,-0.357,-0.711,-0.341,-0.315,-0.361,2.777,4.181,3.427,-0.564,-0.434,-0.317,-0.422,0.255,-0.264,0.450,-0.337,1.856,0.494,1.890,-0.109,0.703,0.010,2.287,-0.400,2.125
58,-0.577,-1.068,-0.654,0.402,0.265,-0.730,0.200,-1.115,-0.321,-0.302,-0.783,-0.535,-1.029,-0.471,-0.370,-0.491,-0.587,-0.262,-0.259,-0.345,-0.412,-0.326,0.181,-1.151,-0.389,-0.671,-0.673,-0.386,0.756,-0.478,-0.532,-0.607,0.033,4.852,-0.187,-0.341,-0.315,-0.361,0.157,0.355,-0.548,2.424,3.539,4.728,3.023,-0.414,-0.264,-0.352,-0.337,0.911,-0.183,-0.560,-0.702,-0.828,-0.496,-0.514,2.284,2.125
